slug,route,file,theme,status,notes
login-sign-in,/login,01-auth/login-sign-in.png,light,pass,""
login-sign-in-dark,/login,01-auth/login-sign-in-dark.png,dark,pass,""
shell-help-drawer,/ (help drawer),12-modals/shell-help-drawer.png,light,pass,""
wizard-01,/wizard?step=1,02-wizard/wizard-01.png,light,pass,""
wizard-02,/wizard?step=2,02-wizard/wizard-02.png,light,pass,""
wizard-03,/wizard?step=3,02-wizard/wizard-03.png,light,pass,""
wizard-04,/wizard?step=4,02-wizard/wizard-04.png,light,pass,""
wizard-05,/wizard?step=5,02-wizard/wizard-05.png,light,pass,""
wizard-06,/wizard?step=6,02-wizard/wizard-06.png,light,pass,""
wizard-07,/wizard?step=7,02-wizard/wizard-07.png,light,pass,""
wizard-08,/wizard?step=8,02-wizard/wizard-08.png,light,pass,""
wizard-09,/wizard?step=9,02-wizard/wizard-09.png,light,pass,""
wizard-10,/wizard?step=10,02-wizard/wizard-10.png,light,pass,""
dashboards-hub,/,03-dashboards/dashboards-hub.png,light,pass,""
dashboards-hub-dark,/,03-dashboards/dashboards-hub-dark.png,dark,pass,""
dashboards-hub-filter-pinned,/?chip=Pinned,03-dashboards/dashboards-hub-filter-pinned.png,light,pass,""
dashboards-hub-filter-kiosk,/?chip=Kiosk,03-dashboards/dashboards-hub-filter-kiosk.png,light,pass,""
dashboards-hub-filter-analysis,/?chip=Analysis,03-dashboards/dashboards-hub-filter-analysis.png,light,pass,""
dashboard-plant-overview,/dashboards/219ca121-943a-45a4-bd3d-5f47a6ead65a,03-dashboards/dashboard-plant-overview.png,light,pass,""
dashboard-analytics-starter,/dashboards/fe0c813f-eeea-40ff-b820-0290ad4cc2a0,03-dashboards/dashboard-analytics-starter.png,light,pass,""
dashboard-beverage-andon,/dashboards/8efd1055-a1b4-4708-85e0-7ee87c2cefb5,03-dashboards/dashboard-beverage-andon.png,light,pass,""
dashboard-beverage-operator-floor,/dashboards/b94c41ac-2010-4be7-9700-bdcfbe8b8023,03-dashboards/dashboard-beverage-operator-floor.png,light,pass,""
dashboard-beverage-production,/dashboards/eb04468b-09ed-4b80-82d6-fdce75b56daf,03-dashboards/dashboard-beverage-production.png,light,pass,""
dashboard-beverage-quality,/dashboards/c0d73460-e2b8-4273-8c06-1baed710bc96,03-dashboards/dashboard-beverage-quality.png,light,pass,""
dashboard-beverage-supervisor,/dashboards/b4efcec4-2e69-4981-95db-cf9e8a0838ad,03-dashboards/dashboard-beverage-supervisor.png,light,pass,""
dashboard-maintenance-wall,/dashboards/ab3ca758-3e93-4b1e-9604-4723e4f06676,03-dashboards/dashboard-maintenance-wall.png,light,pass,""
kiosk-beverage-andon-light,/kiosk/8efd1055-a1b4-4708-85e0-7ee87c2cefb5,04-kiosk-present/kiosk-beverage-andon-light.png,light,pass,""
kiosk-beverage-andon-dark,/kiosk/8efd1055-a1b4-4708-85e0-7ee87c2cefb5,04-kiosk-present/kiosk-beverage-andon-dark.png,dark,pass,""
present-beverage-andon,/present/8efd1055-a1b4-4708-85e0-7ee87c2cefb5,04-kiosk-present/present-beverage-andon.png,light,pass,""
explorer-fleet-root,/plant-explorer,05-explorer/explorer-fleet-root.png,light,pass,""
explorer-plant,/plant-explorer?scope=Plant%3Ac7edd815-f2c2-4b39-97f5-065ed73787dc,05-explorer/explorer-plant.png,light,pass,""
explorer-department,/plant-explorer?scope=Department%3Adad6d33a-b7c4-4ed3-8cee-8d5c490d4a22,05-explorer/explorer-department.png,light,pass,""
explorer-line-beverage,/plant-explorer?scope=Line%3A82c97496-05f2-4421-a890-93d903600622,05-explorer/explorer-line-beverage.png,light,pass,""
explorer-line-molding,/plant-explorer?scope=Line%3A12dbea6a-37f1-4b36-8703-fbf1beb65e6e,05-explorer/explorer-line-molding.png,light,pass,""
explorer-machine-filler,/plant-explorer?scope=Machine%3A9e2ac1ff-005f-4df6-a715-4050708bba2f,05-explorer/explorer-machine-filler.png,light,pass,""
explorer-line-beverage-tab-overview,/plant-explorer?scope=Line%3A82c97496-05f2-4421-a890-93d903600622,05-explorer/explorer-line-beverage-tab-overview.png,light,pass,""
explorer-line-beverage-tab-downtime,/plant-explorer?scope=Line%3A82c97496-05f2-4421-a890-93d903600622&tab=downtime,05-explorer/explorer-line-beverage-tab-downtime.png,light,pass,""
explorer-line-beverage-tab-reliability,/plant-explorer?scope=Line%3A82c97496-05f2-4421-a890-93d903600622&tab=reliability,05-explorer/explorer-line-beverage-tab-reliability.png,light,pass,""
explorer-machine-filler-tab-overview,/plant-explorer?scope=Machine%3A9e2ac1ff-005f-4df6-a715-4050708bba2f,05-explorer/explorer-machine-filler-tab-overview.png,light,pass,""
explorer-machine-filler-tab-downtime,/plant-explorer?scope=Machine%3A9e2ac1ff-005f-4df6-a715-4050708bba2f&tab=downtime,05-explorer/explorer-machine-filler-tab-downtime.png,light,pass,""
explorer-machine-filler-tab-reliability,/plant-explorer?scope=Machine%3A9e2ac1ff-005f-4df6-a715-4050708bba2f&tab=reliability,05-explorer/explorer-machine-filler-tab-reliability.png,light,pass,""
explorer-line-beverage-dark,/plant-explorer?scope=Line%3A82c97496-05f2-4421-a890-93d903600622,05-explorer/explorer-line-beverage-dark.png,dark,pass,""
operator-grid,/operator,06-operator/operator-grid.png,light,pass,""
operator-grid-dark,/operator,06-operator/operator-grid-dark.png,dark,pass,""
operator-machine-detail-filler,/operator?machine=9e2ac1ff-005f-4df6-a715-4050708bba2f,06-operator/operator-machine-detail-filler.png,light,pass,""
modal-reason-assign,/operator (reason modal),12-modals/modal-reason-assign.png,light,pass,""
analytics-plant-overview,/analytics?scope=Plant%3Ac7edd815-f2c2-4b39-97f5-065ed73787dc,07-analytics/analytics-plant-overview.png,light,pass,""
analytics-beverage-downtime,/analytics?scope=Line%3A82c97496-05f2-4421-a890-93d903600622&tab=downtime,07-analytics/analytics-beverage-downtime.png,light,pass,""
analytics-beverage-production,/analytics?scope=Line%3A82c97496-05f2-4421-a890-93d903600622&tab=production,07-analytics/analytics-beverage-production.png,light,pass,""
analytics-beverage-reliability,/analytics?scope=Line%3A82c97496-05f2-4421-a890-93d903600622&tab=reliability,07-analytics/analytics-beverage-reliability.png,light,pass,""
analytics-filler-overview,/analytics?scope=Machine%3A9e2ac1ff-005f-4df6-a715-4050708bba2f,07-analytics/analytics-filler-overview.png,light,pass,""
analytics-plant-overview-dark,/analytics?scope=Plant%3Ac7edd815-f2c2-4b39-97f5-065ed73787dc,07-analytics/analytics-plant-overview-dark.png,dark,pass,""
reports-generate,/reports,08-reports/reports-generate.png,light,pass,""
reports-history,/reports?tab=history,08-reports/reports-history.png,light,pass,""
reports-schedules-list,/reports?tab=schedules,08-reports/reports-schedules-list.png,light,pass,""
reports-custom-designer,/reports?tab=custom,08-reports/reports-custom-designer.png,light,pass,""
reports-schedules-delivery,/reports?tab=schedules (Delivery),08-reports/reports-schedules-delivery.png,light,pass,""
builder-new-blank,/builder,09-builder/builder-new-blank.png,light,pass,""
builder-edit,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf,09-builder/builder-edit.png,light,pass,""
builder-edit-dark,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf,09-builder/builder-edit-dark.png,dark,pass,""
builder-preview-mode,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf preview,09-builder/builder-preview-mode.png,light,pass,""
builder-properties-data,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf #Data,09-builder/builder-properties-data.png,light,pass,""
builder-properties-widget,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf,09-builder/builder-properties-widget.png,light,skip,"tab still missing after select"
builder-properties-layout,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf #Layout,09-builder/builder-properties-layout.png,light,pass,""
builder-template-gallery-drawer,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf templates,09-builder/builder-template-gallery-drawer.png,light,pass,""
builder-version-history,/builder/eb04468b-09ed-4b80-82d6-fdce75b56daf history,09-builder/builder-version-history.png,light,pass,""
admin-hierarchy,/admin?tab=hierarchy,10-admin/admin-hierarchy.png,light,pass,""
admin-plc,/admin?tab=plc,10-admin/admin-plc.png,light,pass,""
admin-tags,/admin?tab=tags,10-admin/admin-tags.png,light,pass,""
admin-shifts,/admin?tab=shifts,10-admin/admin-shifts.png,light,pass,""
admin-reason-catalog,/admin?tab=faults,10-admin/admin-reason-catalog.png,light,pass,""
admin-control-tags,/admin?tab=controls,10-admin/admin-control-tags.png,light,pass,""
admin-recipes-catalog,/admin?tab=recipes&recipesTab=catalog,10-admin/admin-recipes-catalog.png,light,pass,""
admin-recipes-line-speeds,/admin?tab=recipes&recipesTab=line-speeds&lineId=82c97496-05f2-4421-a890-93d903600622,10-admin/admin-recipes-line-speeds.png,light,pass,""
admin-recipes-review,/admin?tab=recipes&recipesTab=review,10-admin/admin-recipes-review.png,light,pass,""
admin-users,/admin?tab=users,10-admin/admin-users.png,light,pass,""
admin-audit,/admin?tab=audit,10-admin/admin-audit.png,light,pass,""
admin-appearance,/admin?tab=appearance,10-admin/admin-appearance.png,light,pass,""
admin-license,/admin?tab=license,10-admin/admin-license.png,light,pass,""
admin-system,/admin?tab=system,10-admin/admin-system.png,light,pass,""
admin-templates-gallery,/admin?tab=templates,10-admin/admin-templates-gallery.png,light,pass,""
admin-widgets-gallery,/admin?tab=widgets,10-admin/admin-widgets-gallery.png,light,pass,""
admin-hierarchy-dark,/admin?tab=hierarchy,10-admin/admin-hierarchy-dark.png,dark,pass,""
modal-tag-picker,/admin?tab=tags (picker),12-modals/modal-tag-picker.png,light,pass,""
drawer-plc-edit,/admin?tab=plc edit,12-modals/drawer-plc-edit.png,light,pass,""
modal-apply-template,/ apply template,12-modals/modal-apply-template.png,light,pass,""
dev-templates-gallery-light,/dev/templates,11-dev-galleries/dev-templates-gallery-light.png,light,pass,""
dev-widgets-gallery-light,/dev/widgets,11-dev-galleries/dev-widgets-gallery-light.png,light,pass,""
login-mfa,/login (mfa),01-auth/login-mfa.png,light,skip,"seed admin has no MFA challenge"
login-must-change-password,/login (must-change),01-auth/login-must-change-password.png,light,skip,"seed admin password already set"
trial-banner,shell banner,01-auth/trial-banner.png,light,skip,"Personal/active license - trial banner not visible"
gallery-widgets-pack, /dev/widgets, 11-dev-galleries/widgets/*.png, light+dark, pass, "111 widgets x light+dark via capture-widget-screenshots.mjs"
gallery-templates-pack, /dev/templates, 11-dev-galleries/templates/*.png, light+dark, pass, "8 templates + gallery boards x light+dark via capture-template-screenshots.mjs"
